account_code,account_name,parent_account_code,account_type,account_level,normal_balance_side,is_leaf_account,financial_statement_line,financial_statement_category,created_date,updated_date
10000,ASSETS,,ASSET,1,DEBIT,FALSE,BALANCE_SHEET,ASSET,2020-01-01,2024-01-01
11000,Cash and Cash Equivalents,10000,ASSET,2,DEBIT,TRUE,CURRENT_ASSETS,ASSET,2020-01-01,2024-01-01
12000,Accounts Receivable,10000,ASSET,2,DEBIT,TRUE,CURRENT_ASSETS,ASSET,2020-01-01,2024-01-01
14000,Inventory,10000,ASSET,2,DEBIT,TRUE,CURRENT_ASSETS,ASSET,2020-01-01,2024-01-01
15000,Accumulated Depreciation,10000,ASSET,2,CREDIT,TRUE,NON_CURRENT_ASSETS,ASSET,2020-01-01,2024-01-01
20000,LIABILITIES,,LIABILITY,1,CREDIT,FALSE,BALANCE_SHEET,LIABILITY,2020-01-01,2024-01-01
21000,Accounts Payable,20000,LIABILITY,2,CREDIT,TRUE,CURRENT_LIABILITIES,LIABILITY,2020-01-01,2024-01-01
22000,Payroll Liabilities,20000,LIABILITY,2,CREDIT,TRUE,CURRENT_LIABILITIES,LIABILITY,2020-01-01,2024-01-01
23000,Accrued Liabilities,20000,LIABILITY,2,CREDIT,TRUE,CURRENT_LIABILITIES,LIABILITY,2020-01-01,2024-01-01
30000,EQUITY,,EQUITY,1,CREDIT,FALSE,BALANCE_SHEET,EQUITY,2020-01-01,2024-01-01
31000,Retained Earnings,30000,EQUITY,2,CREDIT,TRUE,EQUITY,EQUITY,2020-01-01,2024-01-01
40000,SOFTWARE LICENSE REVENUE,,REVENUE,1,CREDIT,FALSE,INCOME_STATEMENT,REVENUE,2020-01-01,2024-01-01
40000,Software License Revenue,40000,REVENUE,2,CREDIT,TRUE,REVENUE,REVENUE,2020-01-01,2024-01-01
41000,Hardware Revenue,40000,REVENUE,2,CREDIT,TRUE,REVENUE,REVENUE,2020-01-01,2024-01-01
42000,Subscription Revenue,40000,REVENUE,2,CREDIT,TRUE,REVENUE,REVENUE,2020-01-01,2024-01-01
50000,COST OF GOODS SOLD,,EXPENSE,1,DEBIT,FALSE,INCOME_STATEMENT,EXPENSE,2020-01-01,2024-01-01
50000,Cost of Goods Sold,50000,EXPENSE,2,DEBIT,TRUE,COST_OF_GOODS_SOLD,EXPENSE,2020-01-01,2024-01-01
60000,PAYROLL EXPENSES,,EXPENSE,1,DEBIT,FALSE,INCOME_STATEMENT,EXPENSE,2020-01-01,2024-01-01
60100,Salary Expense,60000,EXPENSE,2,DEBIT,TRUE,OPERATING_EXPENSES,EXPENSE,2020-01-01,2024-01-01
60200,Benefits Expense,60000,EXPENSE,2,DEBIT,TRUE,OPERATING_EXPENSES,EXPENSE,2020-01-01,2024-01-01
63000,Interest Expense,60000,EXPENSE,2,DEBIT,TRUE,OTHER_EXPENSE,EXPENSE,2020-01-01,2024-01-01
65000,Depreciation Expense,60000,EXPENSE,2,DEBIT,TRUE,OPERATING_EXPENSES,EXPENSE,2020-01-01,2024-01-01
70000,ADMINISTRATIVE EXPENSES,,EXPENSE,1,DEBIT,FALSE,INCOME_STATEMENT,EXPENSE,2020-01-01,2024-01-01
70100,Office Supplies Expense,70000,EXPENSE,2,DEBIT,TRUE,OPERATING_EXPENSES,EXPENSE,2020-01-01,2024-01-01
71000,Marketing Expense,70000,EXPENSE,2,DEBIT,TRUE,OPERATING_EXPENSES,EXPENSE,2020-01-01,2024-01-01
72000,Legal Services Expense,70000,EXPENSE,2,DEBIT,TRUE,OPERATING_EXPENSES,EXPENSE,2020-01-01,2024-01-01 